STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,4/26/2014,,,,,0,",,7,0700",0,",,7",0,",,7",77,",,7",40,",,7",,
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,4/27/2014,,,,,0,",,7,0700",0,",,7",0,",,7",80,",,7",47,",,7",,
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,4/28/2014,,,,,0.01,",,7,0700",0,",,7",0,",,7",58,",,7",39,",,7",41,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,4/29/2014,,,,,0,",,7,0700",0,",,7",0,",,7",56,",,7",35,",,7",36,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,4/30/2014,,,,,0,",,7,0700",0,",,7",0,",,7",57,",,7",29,",,7",30,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,5/1/2014,,,,,0,",,7,0700",0,",,7",0,",,7",55,",,7",30,",,7",31,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,5/2/2014,,,,,0,",,7,0700",0,",,7",0,",,7",64,",,7",31,",,7",37,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,5/3/2014,,,,,0,",,7,0700",0,",,7",0,",,7",77,",,7",37,",,7",,
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,5/4/2014,,,,,0,",,7,0700",0,",,7",0,",,7",83,",,7",49,",,7",,
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,5/5/2014,,,,,0,",,7,0700",0,",,7",0,",,7",81,",,7",52,",,7",52,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,5/6/2014,,,,,0,",,7,0700",0,",,7",0,",,7",87,",,7",49,",,7",51,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,5/7/2014,,,,,0,",,7,0700",0,",,7",0,",,7",80,",,7",50,",,7",50,",,7,0700"
